12:1.492;ID:1;1;n; 1163; 107; 23530133; 87954; 22896550; 721236; 0
14:43.416;ID:12;12;99; 147; 45; 785271; 13106; 28599962; 331628; 3
14:43.480;ID:5;5;100; 1308; 215; 811173; 100280; 28238894; 691229; 2
14:43.513;ID:8;8;100; 173; 44; 765264; 15215; 28596619; 334752; 3
14:43.686;ID:10;10;100; 225; 62; 766979; 19283; 28581549; 349994; 3
14:43.728;ID:2;2;100; 1270; 305; 899804; 97162; 28120759; 809138; 1
14:43.882;ID:4;4;100; 1314; 223; 813828; 100879; 28230500; 699527; 2
14:43.918;ID:13;13;99; 162; 45; 770087; 14201; 28597248; 334292; 3
14:44.013;ID:9;9;99; 182; 45; 767651; 15815; 28595885; 335374; 3
14:44.020;ID:14;14;100; 213; 62; 779740; 18499; 28586008; 345507; 3
14:44.077;ID:15;15;100; 216; 65; 772278; 18645; 28581914; 349697; 3
14:44.078;ID:6;6;99; 1313; 223; 817475; 100741; 28230634; 699484; 2
14:44.100;ID:3;3;100; 1288; 326; 903553; 98906; 28102981; 826917; 1
14:44.182;ID:11;11;100; 177; 48; 763060; 15706; 28593020; 338519; 3
14:44.214;ID:7;7;100; 1299; 214; 810760; 99702; 28234216; 695979; 2
